id,file_name,class,x,y,w,h,area
0,train/0000.jpg,0,197.6,193.7,547.8,469.7,257301.66
1,train/0001.jpg,3,0.0,407.4,57.6,180.6,10402.56
1,train/0001.jpg,7,0.0,455.6,144.6,181.6,26259.36
1,train/0001.jpg,4,722.3,313.4,274.3,251.9,69096.17
1,train/0001.jpg,5,353.2,671.0,233.7,103.4,24164.58
1,train/0001.jpg,5,3.7,448.5,778.2,242.0,188324.4
1,train/0001.jpg,0,425.3,681.9,216.4,179.8,38908.72
1,train/0001.jpg,7,92.4,601.7,139.2,53.1,7391.52
1,train/0001.jpg,0,622.4,686.5,72.8,94.2,6857.76
2,train/0002.jpg,3,267.9,165.2,631.6,513.0,324010.8
3,train/0003.jpg,2,462.2,369.4,233.9,254.6,59550.94
3,train/0003.jpg,6,773.3,3.0,188.4,428.4,80710.56
4,train/0004.jpg,1,567.5,462.2,165.2,89.4,14768.88
4,train/0004.jpg,1,859.4,411.7,164.2,200.9,32987.78
4,train/0004.jpg,1,362.0,349.7,130.0,251.9,32747.0
4,train/0004.jpg,1,392.5,348.4,212.0,255.7,54208.4
4,train/0004.jpg,1,482.2,491.4,277.7,208.5,57900.45
4,train/0004.jpg,0,868.2,521.7,101.2,44.7,4523.64
5,train/0005.jpg,7,0.0,148.3,317.0,130.0,41210.0
5,train/0005.jpg,0,320.0,233.7,182.9,66.5,12162.85
5,train/0005.jpg,0,297.7,212.6,166.9,61.5,10264.35
5,train/0005.jpg,0,329.8,203.2,42.7,17.5,747.25
5,train/0005.jpg,5,979.0,173.0,44.7,86.3,3857.61
5,train/0005.jpg,5,894.3,425.4,129.4,97.0,12551.8
5,train/0005.jpg,7,803.6,282.4,82.6,99.3,8202.18
5,train/0005.jpg,7,489.7,158.0,441.6,163.6,72245.76
5,train/0005.jpg,7,837.8,263.6,134.1,132.1,17714.61
5,train/0005.jpg,7,799.8,392.4,163.6,165.8,27124.88
5,train/0005.jpg,7,631.9,237.2,208.9,354.0,73950.6
5,train/0005.jpg,7,948.5,0.0,75.2,105.9,7963.68
5,train/0005.jpg,7,55.5,0.0,961.4,239.0,229774.6
5,train/0005.jpg,1,68.1,66.5,125.3,38.3,4798.99
5,train/0005.jpg,1,181.2,70.3,173.4,96.5,16733.1
5,train/0005.jpg,7,0.0,129.3,333.9,430.2,143643.78
5,train/0005.jpg,1,60.6,271.2,605.1,467.8,283065.78
5,train/0005.jpg,1,104.6,278.6,543.5,317.0,172289.5
5,train/0005.jpg,0,98.5,612.3,69.8,44.4,3099.12
5,train/0005.jpg,1,495.7,627.6,345.7,321.0,110969.7
5,train/0005.jpg,5,925.5,97.3,52.1,70.9,3693.89
5,train/0005.jpg,0,471.4,422.3,130.0,59.7,7761.0
6,train/0006.jpg,1,351.7,269.9,398.7,559.1,222913.17
7,train/0007.jpg,9,109.0,104.7,751.7,476.9,358485.73
7,train/0007.jpg,9,95.4,438.7,708.7,552.4,391485.88
8,train/0008.jpg,6,51.8,0.0,635.6,395.9,251634.04
8,train/0008.jpg,0,74.8,258.0,246.2,23.9,5884.18
8,train/0008.jpg,7,170.3,0.0,415.5,210.5,87462.75
8,train/0008.jpg,7,0.0,161.8,101.2,662.1,67004.52
8,train/0008.jpg,7,86.0,0.0,183.2,124.2,22753.44
8,train/0008.jpg,7,0.0,0.0,192.3,211.6,40690.68
8,train/0008.jpg,7,44.4,135.9,745.3,750.5,559347.65
9,train/0009.jpg,2,308.4,281.3,404.1,415.8,168024.78
10,train/0010.jpg,0,377.9,255.0,368.4,278.1,102452.04
11,train/0011.jpg,0,446.6,445.2,96.8,135.6,13126.08
12,train/0012.jpg,1,146.0,441.9,775.4,511.0,396229.4
12,train/0012.jpg,1,274.8,540.1,383.7,139.2,53411.04
12,train/0012.jpg,1,276.3,334.6,356.3,264.8,94348.24
13,train/0013.jpg,6,99.9,58.9,139.9,118.1,16522.19
13,train/0013.jpg,7,746.7,167.6,223.8,252.4,56487.12
13,train/0013.jpg,7,0.0,0.0,111.1,159.2,17687.12
13,train/0013.jpg,6,59.3,0.0,181.8,81.0,14725.8
13,train/0013.jpg,7,629.2,24.9,341.3,253.2,86417.16
13,train/0013.jpg,1,0.0,159.5,104.3,125.7,13110.51
13,train/0013.jpg,1,0.0,473.4,301.0,349.7,105259.7
13,train/0013.jpg,1,0.0,266.9,247.5,242.5,60018.75
13,train/0013.jpg,7,72.5,112.0,835.0,722.0,602870.0
13,train/0013.jpg,1,485.2,173.2,65.7,35.6,2338.92
13,train/0013.jpg,3,325.1,457.7,169.7,130.8,22196.76
13,train/0013.jpg,5,484.6,145.8,226.9,274.8,62352.12
13,train/0013.jpg,5,572.6,538.9,276.0,173.0,47748.0
13,train/0013.jpg,5,136.1,355.0,311.5,113.8,35448.7
13,train/0013.jpg,5,459.2,335.2,329.8,207.5,68433.5
13,train/0013.jpg,5,611.2,450.0,244.1,166.6,40667.06
14,train/0014.jpg,9,586.4,194.4,288.5,645.4,186197.9
14,train/0014.jpg,9,158.5,260.7,332.4,595.6,197977.44
14,train/0014.jpg,7,118.9,0.0,239.0,242.5,57957.5
14,train/0014.jpg,9,175.7,97.9,171.7,234.7,40297.99
14,train/0014.jpg,3,909.2,929.9,66.8,78.9,5270.52
15,train/0015.jpg,6,844.2,499.5,48.3,101.2,4887.96
15,train/0015.jpg,3,423.9,390.4,424.1,327.4,138850.34
15,train/0015.jpg,6,885.6,577.0,71.4,82.6,5897.64
16,train/0016.jpg,6,306.8,178.8,569.9,610.9,348151.91
